postcode,locality,state
2850,AARONS PASS,NSW
6280,ABBA RIVER,WA
6280,ABBEY,WA
3737,ABBEYARD,VIC
4613,ABBEYWOOD,QLD
2176,ABBOTSBURY,NSW
2046,ABBOTSFORD,NSW
3067,ABBOTSFORD,VIC
4670,ABBOTSFORD,QLD
7315,ABBOTSHAM,TAS
8006,ABECKETT STREET,VIC
7112,ABELS BAY,TAS
4627,ABERCORN,QLD
2795,ABERCROMBIE,NSW
2795,ABERCROMBIE RIVER,NSW
2325,ABERDARE,NSW
2336,ABERDEEN,NSW
7310,ABERDEEN,TAS
3040,ABERFELDIE,VIC
3825,ABERFELDY,VIC
2350,ABERFOYLE,NSW
5159,ABERFOYLE PARK,SA
2320,ABERGLASSLYN,NSW
4850,ABERGOWRIE,QLD
2326,ABERMAIN,NSW
2325,ABERNETHY,NSW
4871,ABINGDON DOWNS,QLD
4892,ABINGDON DOWNS,QLD
2350,ABINGTON,NSW
4660,ABINGTON,QLD
5440,ABMINGA STATION,SA
2476,ACACIA CREEK,NSW
2763,ACACIA GARDENS,NSW
822,ACACIA HILLS,NT
7306,ACACIA HILLS,TAS
2350,ACACIA PARK,NSW
2476,ACACIA PLATEAU,NSW
4110,ACACIA RIDGE,QLD
4110,ACACIA RIDGE BC,QLD
4110,ACACIA RIDGE DC,QLD
3714,ACHERON,VIC
4401,ACLAND,QLD
2601,ACTON,ACT
7320,ACTON,TAS
6280,ACTON PARK,WA
7170,ACTON PARK,TAS
3833,ADA,VIC
2629,ADAMINABY,NSW
3984,ADAMS ESTATE,VIC
2289,ADAMSTOWN,NSW
2289,ADAMSTOWN HEIGHTS,NSW
6375,ADAMSVALE,WA
4343,ADARE,QLD
4474,ADAVALE,QLD
3352,ADDINGTON,VIC
5000,ADELAIDE,SA
,,
,,
,,
,,
,,
5950,ADELAIDE AIRPORT,SA
5000,ADELAIDE BC,SA
3465,ADELAIDE LEAD,VIC
4703,ADELAIDE PARK,QLD
846,ADELAIDE RIVER,NT
5005,ADELAIDE UNIVERSITY,SA
2729,ADELONG,NSW
2727,ADJUNGBILLY,NSW
4211,ADVANCETOWN,QLD
7150,ADVENTURE BAY,TAS
4870,AEROGLEN,QLD
2474,AFTERLEE,NSW
5558,AGERY,SA
3962,AGNES,VIC
2753,AGNES BANKS,NSW
4677,AGNES WATER,QLD
6435,AGNEW,WA
872,AHERRENGE,NT
3393,AILSA,VIC
2602,AINSLIE,ACT
3336,AINTREE,VIC
4807,AIRDMILLAN,QLD
2560,AIRDS,NSW
3237,AIRE VALLEY,VIC
3231,AIREYS INLET,VIC
4802,AIRLIE BEACH,QLD
2846,AIRLY,NSW
3851,AIRLY,VIC
3042,AIRPORT WEST,VIC
4807,AIRVILLE,QLD
4814,AITKENVALE,QLD
4814,AITKENVALE BC,QLD
6532,AJANA,WA
7216,AKAROA,TAS
2546,AKOLELE,NSW
2084,AKUNA BAY,NSW
4820,ALABAMA HILL,QLD
7248,ALANVALE,TAS
810,ALAWA,NT
5311,ALAWOONA,SA
3424,ALBACUTYA,VIC
3021,ALBANVALE,VIC
6330,ALBANY,WA
6332,ALBANY,WA
4035,ALBANY CREEK,QLD
6331,ALBANY DC,WA
6332,ALBANY PO,WA
2873,ALBERT,NSW
3206,ALBERT PARK,VIC
5014,ALBERT PARK,SA
4702,ALBERTA,QLD
3971,ALBERTON,VIC
4207,ALBERTON,QLD
5014,ALBERTON,SA
7263,ALBERTON,TAS
3971,ALBERTON WEST,VIC
4722,ALBINIA,QLD
3020,ALBION,VIC
4010,ALBION,QLD
4822,ALBION,QLD
4010,ALBION BC,QLD
4010,ALBION DC,QLD
7050,ALBION HEIGHTS,TAS
2527,ALBION PARK,NSW
2527,ALBION PARK RAIL,NSW
